"Page","Item","Description","CaseCount","Retail","UPC"
"35","84429","Marble Cake 4 oz","48","$2.79","035751114294"
"35","84430","Cheese Coffee Cake 4 oz","36","$2.79","035751114300"
"35","84453","Strawberry Cheese Cake 4 oz","48","$2.79","035751114539"
"35","84709","Semitas Sweet Roll 5 oz","20","$2.79","035751117097"
"35","84720","Pan de Queso 4 oz","36","$2.79","035751117202"
"35","84723","Picon California Sweet Roll 5 oz","20","$2.79","035751117233"
"35","84729","Grande Mantecada 4 oz NEW","36","$2.79","035751117295"
"35","84732","Strawberry Concha 5 oz NEW","20","$2.79","035751117325"
"35","84828","Crumb Donuts 6-Pk","28","$2.79","035751118285"
"35","84830","Chocolate Donuts 6-Pk","28","$2.79","035751118308"
"35","84831","Dulce de Leche Donuts 6-Pk","28","$2.79","035751118315"
"35","84834","Strawberry Cheese Donuts 6-Pk","28","$2.79","035751118346"
"35","84836","Blueberry Cheese Donuts 6-Pk","28","$2.79","035751118360"
"36","84901","JJ's Apple Pie 4oz.","12","$1.49","011284003014"
"36","84902","JJ's Cherry Pie 4oz.","12","$1.49","011284003021"
"36","84903","JJ's Blackberry Pie 4oz.","12","$1.49","011284003038"
"36","84906","JJ's Chocolate Pie 4oz.","12","$1.49","011284003069"
"36","84915","JJ's Boston Crm Pie 4oz.","12","$1.49","011284003151"
"36","84916","JJ's Straw. Crm Pie 4oz.","12","$1.49","011284003168"
"36","84929","JJ's Banana Pie 4oz.","12","$1.49","011284003298"
"37","84930","CB Chc.Chunk Cookie 4oz.","8","$1.99","0857208007634"
"37","84931","CB Snickerdoodle Cookie 4oz.","8","$1.99","0857208007658"
"37","84935","CB Peanut Butter Cookie 4oz.","8","$1.99","0857208007641"
"38","84020","Iced Lemon Pound Cake 4 oz","10","$2.99","797884212185"
"38","84021","Chocolate Iced Pound Cake 4 oz","10","$2.99","797884213182"
"38","84022","Banana Chocolate Chip Pound Cake 4 oz","10","$2.99","797884214189"
"39","83025","Jonny Almond Praline Pecans 4 oz","12","$3.99","818224011258"
"39","83027","Jonny Almond Cinnamon Almonds 4 oz","12","$3.99","818224010275"
"39","83028","Jonny Almond Honeysalt Cashews 4 oz","12","$3.99","818224010282"
"39","95075","Warmer Unit","1","--","--"
"43","82400","Sweet & Hot Crunch Mix","6","$2.99","709972801003"
"43","92401","Sportsman's Mix","6","$2.99","709972800013"
"43","82405","Rancher's Mix","6","$2.99","709972800051"
"43","82408","Fruit Slices","6","$2.99","709972801089"
"43","82409","Orange Slices","6","$2.99","709972801096"
"43","82411","Hot & Spicy Peanuts","6","$2.99","709972800112"
"43","82412","Roasted & Salted Peanuts","6","$2.99","709972800129"
"43","82413","Sunflower Kernels","6","$2.99","709972800136"
"46","82704","Tajin Mango Rings 5 oz","6","$3.99","087076219048"
"46","82705","Tajin Gummy Bears 4 oz","6","$3.99","087076219062"
"46","82707","Hidden Valley Ranch Almonds 2.5 oz","6","$3.99","087076217068"
"46","82710","Tajin Watermelon Rings 5 oz","6","$3.99","087076216108"
"46","82740","Tajin Peanuts 5 oz","6","$3.99","087076216405"
"46","82747","Peach Rings 5 oz","6","$3.99","087076216474"
"46","82806","Tajin Gummy Bears 9 oz","6","$7.49","087076649067"
"46","82810","Tajin Watermelon Rings 11 oz","6","$7.49","087076646103"
"46","82811","Tajin Apple Rings 11 oz","6","$7.49","087076656119"
"46","82819","Tajin Pineapple Rings 11 oz","6","$7.49","087076649197"
"46","82830","Hot Ones Honey Roasted Peanuts 14 oz","6","$7.49","087076619305"
"46","82831","Hot Ones Honey Roasted Cashews 6 oz","6","$7.49","087076619312"
"46","82860","Energizer Trail Mix 16 oz","6","$7.49","087076644604"
"46","82920","Tajin Peanuts & Corn Clusters 4 oz","6","$7.49","087076599201"
"46","82922","Tajin Chocolate Gummy Bears 4 oz","6","$7.49","087076599225"
"49","87940","Feritio Angel Hair 5.29oz.","12","$15.99","850076282004"
"49","87945","Feritio Freeze Dried Strawberry 2.2oz.","21","$6.99","850076282257"
"49","87946","Feritio Matcha Cheesecake 2.47oz.","21","$6.99","850076282264"
"49","87950","Feritio Dubai Chocolate 2.82oz.","9","$9.99","895296001134"
"49","87953","Feritio Dubai Chocolate 200g","6","$17.99","85003560274"
"50","87571","Frost Bites Peach Rings","24","$6.99","684514314916"
"50","87572","Frost Bites Watermelon Rings","24","$6.99","684514314923"
"50","87573","Frost Bites Chamoy Watermelon Rings","24","$6.99","684514314930"
"50","87574","Frost Bites Sour Worms","24","$6.99","684514314947"
"50","87575","Frost Bites Shark Bites","24","$6.99","684514315357"
"50","87576","Frost Bites Ice Cream Neapolitan","24","$6.99","684514314985"
"50","87577","Frost Bites Ice Cream Vanilla","24","$6.99","684514314992"
"50","87578","Frost Bites Ice Cream Straw. Cheesecake","24","$6.99","684514315104"
"51","87543","Sour Straws Pineapple Splash","12","$3.99","840124111431"
"51","87544","Sour Straws Blueberry Bliss","12","$3.99","840124111448"
"51","87545","Sour Straws Wild Strawberry","12","$3.99","840124111455"
"51","87546","Sour Straws Sour Apple","12","$3.99","840124111424"
"51","87565","Sour Bands Strawberry Smash","12","$3.99","840124111653"
"51","87566","Sour Bands Very Berry Blue","12","$3.99","840124111660"
"51","87567","Sour Bands Wicked Watermelon","12","$3.99","840124111677"
"51","87568","Sour Bands Rainbow Punch","12","$3.99","840124111684"
"51","87553","Sour Chewz Rack 96 ct","","",""
"52","87301","12" Super Tube in a box","24","$2.99","831955004399"
"52","87300","60" PP Mega Tube (please reuse)","25","$6.99","831955003958"
